vessel_id,block,length,width,height,weight,destination,slot_length,slot_width,slot_height,slot_space,block_space,Batch
 SN2627, E470P,11.0,6.0,2.6,4.0,덕곡1,23.0,16.0,1000.0,368.0,66.0,0_1.0
 SN2463, E423P,11.0,11.0,1.3,10.0,덕곡1,23.0,16.0,1000.0,368.0,121.0,0_1.0
 SN2456, A12BS,11.0,6.0,2.6,4.0,덕곡1,24.0,19.0,1000.0,456.0,66.0,0_1.0
 SN2590, T190C,12.0,11.0,2.2,25.0,덕곡1,24.0,19.0,1000.0,456.0,132.0,0_1.0
 SN2597, D340P,21.0,14.0,4.4,33.0,오비1,21.0,16.0,1000.0,336.0,294.0,2_1.0
 SN2611, E430C,21.0,15.0,5.7,81.0,신한내,25.0,23.0,1000.0,575.0,315.0,8_1.0
 SN2455, A210C,16.0,16.0,9.3,42.0,신한내,25.0,23.0,1000.0,575.0,256.0,8_1.0
 SN2457, D291S,11.0,10.0,2.0,4.0,덕곡1,25.0,23.0,1000.0,575.0,110.0,0_1.0
 SN2603, D391P,15.0,14.0,4.1,36.0,오비1,16.0,16.0,1000.0,256.0,210.0,2_1.0
 SN2612, E110S,18.0,17.0,7.8,27.0,오비1,24.0,17.0,1000.0,408.0,306.0,2_1.0
 SN2603, S141S,21.0,16.0,2.6,83.0,신한내,25.0,23.0,1000.0,575.0,336.0,8_1.0
 SN2614, F622S,12.0,11.0,3.6,11.0,덕곡1,25.0,23.0,1000.0,575.0,132.0,0_1.0
 SN2602, D160C,20.0,15.0,1.9,43.0,신한내,25.0,23.0,1000.0,575.0,300.0,8_1.0
 SN2452, E660C,18.0,17.0,1.9,55.0,성동,25.0,22.0,1000.0,550.0,306.0,6_1.0
 SN2590, E650C,15.0,15.0,2.0,57.0,성동,25.0,22.0,1000.0,550.0,225.0,6_1.0
 SN2627, B120P,19.0,18.0,2.6,54.0,성동,25.0,22.0,1000.0,550.0,342.0,6_1.0
 SN2603, T110S,15.0,15.0,2.7,86.0,신한내,25.0,23.0,1000.0,575.0,225.0,8_2.0
 SN2627, E340P,16.0,14.0,7.2,23.0,오비1,16.0,16.0,1000.0,256.0,224.0,2_1.0
 SN2613, D560C,11.0,9.0,5.8,23.0,한내,14.0,12.0,1000.0,168.0,99.0,7_1.0
 SN2453, E710P,22.0,13.0,6.6,84.0,한내,25.0,14.0,1000.0,350.0,286.0,7_1.0
 SN2456, E210P,15.0,13.0,6.0,33.0,신한내,23.0,13.0,1000.0,299.0,195.0,8_2.0
 SN2601, E230S,17.0,13.0,4.3,28.0,OFD,25.0,16.0,1000.0,400.0,221.0,9_1.0
 SN2603, H140S,21.0,12.0,6.4,33.0,오비3,21.0,15.0,1000.0,315.0,252.0,3_1.0
 SN2657, E412P,11.0,11.0,2.9,15.0,오비1,17.0,13.0,1000.0,221.0,121.0,2_1.0
 SN2612, E240C,21.0,15.0,3.1,67.0,신한내,25.0,23.0,1000.0,575.0,315.0,8_2.0
 SN2590, A420S,15.0,11.0,5.1,18.0,한내,25.0,14.0,1000.0,350.0,165.0,7_1.0
 SN2607, A212P,19.0,11.0,6.1,50.0,오비1,21.0,16.0,1000.0,336.0,209.0,2_2.0
 SN2611, T351S,16.0,16.0,2.7,51.0,신한내,25.0,23.0,1000.0,575.0,256.0,8_2.0
 SN2452, E720P,22.0,16.0,8.4,106.0,신한내,25.0,23.0,1000.0,575.0,352.0,8_3.0
 SN2612, M610C,20.0,18.0,3.3,60.0,성동,25.0,22.0,1000.0,550.0,360.0,6_1.0
 SN2455, E650C,16.0,13.0,5.2,47.0,한내,25.0,14.0,1000.0,350.0,208.0,7_1.0
 SN2603, T151C,20.0,15.0,2.7,98.0,성동,25.0,22.0,1000.0,550.0,300.0,6_2.0
 SN2611, T350S,16.0,16.0,2.8,32.0,성동,25.0,22.0,1000.0,550.0,256.0,6_2.0
 SN2597, D390P,15.0,14.0,4.4,24.0,오비1,24.0,17.0,1000.0,408.0,210.0,2_2.0
 SN2611, D411S,20.0,13.0,4.3,43.0,오비1,24.0,17.0,1000.0,408.0,260.0,2_2.0
 SN2603, D191S,15.0,11.0,1.9,31.0,오비3,21.0,15.0,1000.0,315.0,165.0,3_1.0
 SN2453, H200P,19.0,14.0,5.6,66.0,성동,22.0,14.0,1000.0,308.0,266.0,6_2.0
 SN2597, D350P,16.0,14.0,4.4,26.0,신한내,23.0,14.0,1000.0,322.0,224.0,8_3.0
 SN2603, B120P,22.0,16.0,3.2,68.0,OFD,25.0,16.0,1000.0,400.0,352.0,9_1.0
 SN2603, F422S,12.0,11.0,3.8,12.0,봉암8,21.0,15.0,5.0,315.0,132.0,4_1.0
 SN2601, E370C,19.0,11.0,3.6,22.0,오비1,25.0,23.0,1000.0,575.0,209.0,2_2.0
 SN2457, E451C,16.0,11.0,1.8,19.0,오비3,21.0,15.0,1000.0,315.0,176.0,3_1.0
 SN2455, D290S,22.0,16.0,4.3,56.0,신한내,25.0,23.0,1000.0,575.0,352.0,8_3.0
 SN2601, M310P,22.0,18.0,3.4,63.0,신한내,25.0,23.0,1000.0,575.0,396.0,8_4.0
 SN2598, S112P,21.0,11.0,3.8,23.0,덕곡2,21.0,13.0,5.0,273.0,231.0,1_1.0
 SN2603, T320P,18.0,17.0,2.9,48.0,신한내,25.0,23.0,1000.0,575.0,306.0,8_4.0
 SN2601, B110P,21.0,16.0,3.8,67.0,성동,25.0,22.0,1000.0,550.0,336.0,6_2.0
 SN2608, E116P,11.0,8.0,2.4,9.0,봉암9,21.0,15.0,5.0,315.0,88.0,5_1.0
 SN2457, D292S,13.0,11.0,2.0,7.0,오비1,25.0,23.0,1000.0,575.0,143.0,2_2.0
 SN2602, D360P,15.0,14.0,4.9,24.0,봉암8,21.0,15.0,5.0,315.0,210.0,4_1.0
 SN2607, M410S,22.0,18.0,3.6,64.0,성동,25.0,22.0,1000.0,550.0,396.0,6_3.0
 SN2591, E130C,16.0,12.0,4.7,3.0,한내,25.0,14.0,1000.0,350.0,192.0,7_1.0
 SN2615, M310P,20.0,11.0,3.1,42.0,OFD,25.0,16.0,1000.0,400.0,220.0,9_1.0
 SN2603, E310P,15.0,14.0,5.0,25.0,신한내,23.0,14.0,1000.0,322.0,210.0,8_4.0
 SN2598, B140S,17.0,17.0,3.1,53.0,성동,25.0,22.0,1000.0,550.0,289.0,6_3.0
 SN2607, E541S,11.0,6.0,2.5,5.0,사내,,,,,256.0,6_1.0
 SN2597, M120P,19.0,13.0,6.0,68.0,사내,,,,,176.0,7_1.0
 SN2607, E232P,12.0,11.0,5.2,26.0,사내,,,,,300.0,4_1.0
 SN2454, H220P,17.0,11.0,4.6,26.0,사내,,,,,132.0,1_1.0
 SN2602, E520S,22.0,14.0,5.3,59.0,사내,,,,,252.0,6_1.0
 SN2452, S430P,19.0,19.0,8.0,35.0,사내,,,,,352.0,2_1.0
 SN2601, B121P,20.0,16.0,3.2,109.0,사내,,,,,210.0,6_1.0
 SN2601, D510S,22.0,11.0,7.0,36.0,사내,,,,,224.0,9_1.0
 SN2627, E360C,15.0,12.0,4.3,30.0,사내,,,,,352.0,7_1.0
 SN2607, E232P,12.0,11.0,5.2,26.0,사내,,,,,300.0,4_1.0
 SN2456, D193S,11.0,9.0,2.3,7.0,사내,,,,,306.0,4_1.0
 SN2598, M110S,21.0,11.0,5.7,78.0,사내,,,,,132.0,7_1.0
 SN2611, D401P,18.0,14.0,4.1,37.0,사내,,,,,132.0,6_1.0
 SN2454, S621P,17.0,11.0,2.5,38.0,사내,,,,,342.0,0_1.0
 SN2614, A410P,12.0,11.0,4.3,11.0,사내,,,,,300.0,5_1.0
 SN2607, E232P,12.0,11.0,5.2,26.0,사내,,,,,300.0,4_1.0
 SN2603, D340S,20.0,13.0,4.2,31.0,사내,,,,,224.0,7_1.0
 SN2598, S141P,16.0,16.0,2.6,78.0,사내,,,,,220.0,6_1.0
 SN2456, A12AP,11.0,7.0,2.8,6.0,사내,,,,,99.0,7_1.0
 SN2627, S180S,19.0,11.0,6.2,24.0,사내,,,,,209.0,7_1.0
 SN2597, M120P,19.0,13.0,6.0,68.0,사내,,,,,176.0,7_2.0
 SN2454, H220P,17.0,11.0,4.6,26.0,사내,,,,,132.0,1_1.0
 SN2611, D141P,20.0,11.0,1.9,52.0,사내,,,,,66.0,1_1.0
 SN2597, F210S,15.0,11.0,4.5,8.0,사내,,,,,110.0,1_1.0
 SN2456, D292S,13.0,11.0,2.0,7.0,사내,,,,,192.0,7_2.0
 SN2457, E413P,15.0,11.0,5.7,24.0,사내,,,,,88.0,8_1.0
 SN2603, F423S,11.0,10.0,7.2,10.0,사내,,,,,396.0,2_1.0
 SN2627, S180S,19.0,11.0,6.2,24.0,사내,,,,,209.0,7_2.0
 SN2454, S621P,17.0,11.0,2.5,38.0,사내,,,,,342.0,0_1.0
 SN2598, S141P,16.0,16.0,2.6,78.0,사내,,,,,220.0,6_1.0
 SN2455, T260C,11.0,10.0,3.0,16.0,사내,,,,,209.0,5_1.0
 SN2611, D141P,20.0,11.0,1.9,52.0,사내,,,,,66.0,1_1.0
 SN2455, T260C,11.0,10.0,3.0,16.0,사내,,,,,209.0,5_1.0
 SN2603, T150C,20.0,15.0,2.8,58.0,사내,,,,,306.0,5_1.0
 SN2590, E540S,15.0,14.0,3.4,33.0,사내,,,,,256.0,1_1.0
 SN2627, S180S,19.0,11.0,6.2,24.0,사내,,,,,209.0,7_2.0
 SN2598, S141P,16.0,16.0,2.6,78.0,사내,,,,,220.0,6_2.0
 SN2603, F331P,11.0,10.0,4.0,13.0,사내,,,,,66.0,5_1.0
 SN2597, F210S,15.0,11.0,4.5,8.0,사내,,,,,110.0,1_1.0
 SN2452, S430P,19.0,19.0,8.0,35.0,사내,,,,,352.0,2_1.0
 SN2614, F520P,13.0,11.0,5.2,11.0,사내,,,,,208.0,7_2.0
 SN2455, T260C,11.0,10.0,3.0,16.0,사내,,,,,209.0,5_1.0
 SN2611, D141P,20.0,11.0,1.9,52.0,사내,,,,,66.0,1_1.0
 SN2601, H140P,21.0,12.0,6.5,34.0,사내,,,,,289.0,8_1.0
 SN2601, H140P,21.0,12.0,6.5,34.0,사내,,,,,289.0,8_1.0
 SN2597, F210S,15.0,11.0,4.5,8.0,사내,,,,,110.0,1_1.0
 SN2455, T260C,11.0,10.0,3.0,16.0,사내,,,,,209.0,5_2.0
 SN2601, D510S,22.0,11.0,7.0,36.0,사내,,,,,224.0,9_1.0
 SN2597, F210S,15.0,11.0,4.5,8.0,사내,,,,,110.0,1_1.0
 SN2607, E541S,11.0,6.0,2.5,5.0,사내,,,,,256.0,6_2.0
 SN2627, D280P,20.0,12.0,1.6,35.0,사내,,,,,352.0,8_1.0
 SN2452, S430P,19.0,19.0,8.0,35.0,사내,,,,,352.0,2_2.0
 SN2607, E541S,11.0,6.0,2.5,5.0,사내,,,,,256.0,6_2.0
 SN2627, S090S,21.0,11.0,3.3,26.0,사내,,,,,225.0,7_2.0
 SN2627, D180P,20.0,13.0,4.2,41.0,사내,,,,,256.0,6_2.0
